x, y, z
 2.136, -0.122, 0.549
 2.075, -0.061, 0.549
 2.075, -0.061, 0.549
 1.892, -0.061, 0.671
 1.892, -0.061, 0.671
 2.136, 0.000, 0.732
 2.136, 0.000, 0.732
 2.136, 0.000, 0.732
 2.258, 0.000, 0.793
 2.258, 0.000, 0.793
 2.319, 0.000, 0.916
 2.319, 0.000, 0.916
 2.319, -0.122, 0.793
 2.319, -0.122, 0.793
 2.319, -0.122, 0.793
 2.441, -0.793, 0.916
 2.441, -0.793, 0.916
 2.319, -1.526, 0.732
 2.319, -1.526, 0.732
 2.441, -1.831, 0.610
 2.441, -1.831, 0.610
 2.625, -2.014, 0.549
 2.625, -2.014, 0.549
 2.625, -2.014, 0.549
 2.747, -2.808, 0.183
 2.747, -2.808, 0.183
 2.991, -3.296, -0.183
 2.991, -3.296, -0.183
 3.052, -3.845, -0.183
 3.052, -3.845, -0.183
 3.052, -3.845, -0.183
 3.601, -6.775, -0.854
 3.601, -6.775, -0.854
 4.333, -9.094, -1.465
 4.333, -9.094, -1.465
 4.456, -8.179, -1.282
 4.456, -8.179, -1.282
 4.395, -7.324, -1.038
 4.395, -7.324, -1.038
 4.395, -7.324, -1.038
 4.517, -7.812, -1.160
 4.517, -7.812, -1.160
 4.272, -7.385, -1.221
 4.272, -7.385, -1.221
 4.395, -8.240, -1.038
 4.395, -8.240, -1.038
 5.554, -11.719, -1.648
 5.554, -11.719, -1.648
 5.554, -11.719, -1.648
 5.493, -12.146, -1.709
 5.493, -12.146, -1.709
 4.761, -10.376, -1.404
 4.761, -10.376, -1.404
 4.333, -9.277, -1.282
 4.333, -9.277, -1.282
 4.333, -9.277, -1.282
 4.395, -8.728, -1.160
 4.395, -8.728, -1.160
 4.211, -8.057, -1.160
 4.211, -8.057, -1.160
 3.967, -7.446, -1.160
 3.967, -7.446, -1.160
 3.418, -6.592, -1.404
 3.418, -6.592, -1.404
 3.418, -6.592, -1.404
 2.991, -6.226, -1.892
 2.991, -6.226, -1.892
 2.747, -6.226, -2.197
 2.747, -6.226, -2.197
 2.380, -6.226, -2.258
 2.380, -6.226, -2.258
 2.380, -6.226, -2.258
 1.953, -6.226, -2.319
 1.953, -6.226, -2.319
 1.648, -6.348, -2.502
 1.648, -6.348, -2.502
 1.404, -6.897, -2.441
 1.404, -6.897, -2.441
 1.160, -6.775, -1.709
 1.160, -6.775, -1.709
 1.160, -6.775, -1.709
 0.366, -6.348, -1.343
 0.366, -6.348, -1.343
 -0.183, -5.737, -1.526
 -0.183, -5.737, -1.526
 -0.793, -5.066, -2.014
 -0.793, -5.066, -2.014
 -1.343, -4.639, -2.625
 -1.343, -4.639, -2.625
 -1.343, -4.639, -2.625
 -1.709, -4.944, -3.418
 -1.709, -4.944, -3.418
 -1.831, -5.066, -4.150
 -1.831, -5.066, -4.150
 -2.441, -4.944, -4.761
 -2.441, -4.944, -4.761
 -2.441, -4.944, -4.761
 -2.930, -5.005, -4.822
 -2.930, -5.005, -4.822
 -2.991, -5.188, -4.883
 -2.991, -5.188, -4.883
 -3.540, -5.310, -4.517
 -3.540, -5.310, -4.517
 -4.211, -5.493, -4.761
 -4.211, -5.493, -4.761
 -4.211, -5.493, -4.761
 -4.822, -5.127, -5.310
 -4.822, -5.127, -5.310
 -5.127, -5.066, -5.981
 -5.127, -5.066, -5.981
 -5.859, -5.554, -6.714
 -5.859, -5.554, -6.714
 -6.470, -4.761, -6.958
 -6.470, -4.761, -6.958
 -6.470, -4.761, -6.958
 -7.812, -3.052, -6.592
 -7.812, -3.052, -6.592
 -7.629, -2.625, -6.470
 -7.629, -2.625, -6.470
 -6.958, -3.174, -6.287
 -6.958, -3.174, -6.287
 -6.897, -3.601, -6.287
 -6.897, -3.601, -6.287
 -6.897, -3.601, -6.287
 -6.775, -3.662, -7.996
 -6.775, -3.662, -7.996
 -7.568, -3.540, -12.451
 -7.568, -3.540, -12.451
 -8.972, -2.686, -18.127
 -8.972, -2.686, -18.127
 -10.315, -0.854, -21.484
 -10.315, -0.854, -21.484
 -10.315, -0.854, -21.484
 -12.390, 2.014, -24.292
 -12.390, 2.014, -24.292
 -12.634, 3.174, -28.198
 -12.634, 3.174, -28.198
 -13.428, 5.066, -30.884
 -13.428, 5.066, -30.884
 -13.794, 7.385, -33.203
 -13.794, 7.385, -33.203
 -13.794, 7.385, -33.203
 -14.099, 11.963, -34.302
 -14.099, 11.963, -34.302
 -14.526, 17.517, -34.607
 -14.526, 17.517, -34.607
 -14.648, 22.095, -35.156
 -14.648, 22.095, -35.156
 -14.893, 23.926, -34.607
 -14.893, 23.926, -34.607
 -14.893, 23.926, -34.607
 -14.587, 24.353, -35.095
 -14.587, 24.353, -35.095
 -13.489, 24.231, -34.973
 -13.489, 24.231, -34.973
 -12.817, 23.071, -33.325
 -12.817, 23.071, -33.325
 -12.512, 22.339, -33.264
 -12.512, 22.339, -33.264
 -12.512, 22.339, -33.264
 -12.512, 22.644, -32.715
 -12.512, 22.644, -32.715
 -11.780, 20.935, -31.555
 -11.780, 20.935, -31.555
 -11.292, 19.653, -30.884
 -11.292, 19.653, -30.884
 -11.292, 19.653, -30.884
 -10.010, 18.188, -29.541
 -10.010, 18.188, -29.541
 -8.789, 15.259, -27.832
 -8.789, 15.259, -27.832
 -8.362, 13.184, -26.855
 -8.362, 13.184, -26.855
 -7.263, 9.399, -23.804
 -7.263, 9.399, -23.804
 -7.263, 9.399, -23.804
 -6.287, 7.629, -22.095
 -6.287, 7.629, -22.095
 -5.615, 6.531, -23.071
 -5.615, 6.531, -23.071
 -6.104, 7.568, -22.766
 -6.104, 7.568, -22.766
 -5.981, 8.667, -22.888
 -5.981, 8.667, -22.888
 -5.981, 8.667, -22.888
 -5.859, 8.911, -24.292
 -5.859, 8.911, -24.292
 -6.226, 8.423, -25.574
 -6.226, 8.423, -25.574
 -6.592, 7.507, -24.963
 -6.592, 7.507, -24.963
 -6.836, 6.592, -23.499
 -6.836, 6.592, -23.499
 -6.836, 6.592, -23.499
 -7.202, 5.432, -23.499
 -7.202, 5.432, -23.499
 -6.592, 3.845, -22.400
 -6.592, 3.845, -22.400
 -6.348, 2.991, -21.057
 -6.348, 2.991, -21.057
 -5.798, 2.075, -19.470
 -5.798, 2.075, -19.470
 -5.798, 2.075, -19.470
 -5.005, 0.732, -17.944
 -5.005, 0.732, -17.944
 -4.578, 0.488, -17.700
 -4.578, 0.488, -17.700
 -5.127, 1.587, -16.602
 -5.127, 1.587, -16.602
 -5.066, 1.465, -15.198
 -5.066, 1.465, -15.198
 -5.066, 1.465, -15.198
 -4.639, 1.038, -14.099
 -4.639, 1.038, -14.099
 -4.272, 0.305, -13.367
 -4.272, 0.305, -13.367
 -3.540, -1.404, -12.817
 -3.540, -1.404, -12.817
 -3.540, -1.404, -12.817
 -2.747, -3.723, -12.634
 -2.747, -3.723, -12.634
 -2.319, -5.615, -12.939
 -2.319, -5.615, -12.939
 -0.610, -8.179, -13.367
 -0.610, -8.179, -13.367
 4.089, -12.939, -13.916
 4.089, -12.939, -13.916
 4.089, -12.939, -13.916
 10.559, -20.325, -14.893
 10.559, -20.325, -14.893
 11.902, -23.926, -16.235
 11.902, -23.926, -16.235
 10.193, -21.179, -16.296
 10.193, -21.179, -16.296
 10.376, -19.287, -15.686
 10.376, -19.287, -15.686
 10.376, -19.287, -15.686
 9.155, -15.869, -15.625
 9.155, -15.869, -15.625
 4.700, -9.766, -14.709
 4.700, -9.766, -14.709
 1.770, -3.723, -12.451
 1.770, -3.723, -12.451
 1.526, -0.671, -11.230
 1.526, -0.671, -11.230
 1.526, -0.671, -11.230
 1.221, 1.892, -10.864
 1.221, 1.892, -10.864
 1.526, 2.197, -10.254
 1.526, 2.197, -10.254
 2.258, 0.793, -9.827
 2.258, 0.793, -9.827
 3.540, -1.160, -10.010
 3.540, -1.160, -10.010
 3.540, -1.160, -10.010
 6.104, -3.784, -10.376
 6.104, -3.784, -10.376
 10.559, -7.690, -10.498
 10.559, -7.690, -10.498
 14.404, -13.489, -11.475
 14.404, -13.489, -11.475
 16.174, -18.127, -12.634
 16.174, -18.127, -12.634
 16.174, -18.127, -12.634
 14.404, -20.325, -12.207
 14.404, -20.325, -12.207
 6.165, -15.564, -10.864
 6.165, -15.564, -10.864
 2.014, -4.761, -7.690
 2.014, -4.761, -7.690
 2.014, -4.761, -7.690
 1.770, 0.916, -5.493
 1.770, 0.916, -5.493
 1.343, 5.615, -4.028
 1.343, 5.615, -4.028
 1.282, 5.859, -2.563
 1.282, 5.859, -2.563
 1.953, 3.540, -1.587
 1.953, 3.540, -1.587
 1.953, 3.540, -1.587
 2.502, 0.061, -0.854
 2.502, 0.061, -0.854
 3.052, -3.357, 0.427
 3.052, -3.357, 0.427
 4.028, -4.761, 2.014
 4.028, -4.761, 2.014
 4.578, -4.456, 3.174
 4.578, -4.456, 3.174
 4.578, -4.456, 3.174
 2.930, -2.808, 3.479
 2.930, -2.808, 3.479
 -0.427, 1.953, 4.150
 -0.427, 1.953, 4.150
 -2.502, 7.202, 5.432
 -2.502, 7.202, 5.432
 -3.601, 12.146, 6.226
 -3.601, 12.146, 6.226
 -3.601, 12.146, 6.226
 -4.211, 15.320, 7.202
 -4.211, 15.320, 7.202
 -4.211, 16.479, 7.812
 -4.211, 16.479, 7.812
 -4.028, 16.235, 8.362
 -4.028, 16.235, 8.362
 -4.089, 15.015, 8.850
 -4.089, 15.015, 8.850
 -4.089, 15.015, 8.850
 -3.906, 12.878, 9.155
 -3.906, 12.878, 9.155
 -3.357, 10.620, 8.911
 -3.357, 10.620, 8.911
 -3.113, 8.118, 8.057
 -3.113, 8.118, 8.057
 -3.052, 5.798, 6.958
 -3.052, 5.798, 6.958
 -3.052, 5.798, 6.958
 -4.150, 5.066, 5.737
 -4.150, 5.066, 5.737
 -5.554, 5.676, 5.127
 -5.554, 5.676, 5.127
 -5.676, 5.554, 4.150
 -5.676, 5.554, 4.150
 -5.798, 4.883, 3.540
 -5.798, 4.883, 3.540
 -5.798, 4.883, 3.540
 -5.981, 4.333, 3.845
 -5.981, 4.333, 3.845
 -5.188, 3.113, 3.784
 -5.188, 3.113, 3.784
 -4.639, 2.686, 4.211
 -4.639, 2.686, 4.211
 -4.944, 2.869, 4.700
 -4.944, 2.869, 4.700
 -4.944, 2.869, 4.700
 -5.066, 3.174, 5.371
 -5.066, 3.174, 5.371
 -4.578, 3.601, 5.981
 -4.578, 3.601, 5.981
 -4.272, 3.845, 5.798
 -4.272, 3.845, 5.798
 -4.272, 3.845, 5.798
 -4.517, 3.723, 5.371
 -4.517, 3.723, 5.371
 -4.761, 3.113, 4.211
 -4.761, 3.113, 4.211
 -5.188, 2.686, 2.808
 -5.188, 2.686, 2.808
 -6.409, 4.700, 1.526
 -6.409, 4.700, 1.526
 -6.409, 4.700, 1.526
 -5.920, 5.371, 0.732
 -5.920, 5.371, 0.732
 -5.493, 4.822, -0.366
 -5.493, 4.822, -0.366
 -5.554, 4.028, -1.038
 -5.554, 4.028, -1.038
 -5.554, 4.028, -1.038
 -5.310, 2.502, -1.160
 -5.310, 2.502, -1.160
 -4.883, 1.282, -0.793
 -4.883, 1.282, -0.793
 -4.944, 0.854, -0.610
 -4.944, 0.854, -0.610
 -4.639, 0.549, -0.488
 -4.639, 0.549, -0.488
 -4.639, 0.549, -0.488
 -4.150, 0.732, -0.122
 -4.150, 0.732, -0.122
 -3.662, 0.549, -0.183
 -3.662, 0.549, -0.183
 -2.930, 0.244, -0.183
 -2.930, 0.244, -0.183
 -2.319, -0.366, -0.610
 -2.319, -0.366, -0.610
 -2.319, -0.366, -0.610
 -2.075, -0.183, -0.977
 -2.075, -0.183, -0.977
 -1.404, 0.000, -1.221
 -1.404, 0.000, -1.221
 -1.160, 0.244, -1.282
 -1.160, 0.244, -1.282
 -1.160, 0.244, -1.282
 -0.427, 0.244, -1.404
 -0.427, 0.244, -1.404
 0.977, -0.854, -1.587
 0.977, -0.854, -1.587
 2.502, -1.831, -2.014
 2.502, -1.831, -2.014
 4.333, -2.808, -2.380
 4.333, -2.808, -2.380
 4.333, -2.808, -2.380
 5.737, -3.845, -2.563
 5.737, -3.845, -2.563
 5.798, -4.089, -2.686
 5.798, -4.089, -2.686
 4.517, -3.662, -1.953
 4.517, -3.662, -1.953
 2.441, -1.953, -1.099
 2.441, -1.953, -1.099
 2.441, -1.953, -1.099
 1.160, 0.244, -0.244
 1.160, 0.244, -0.244
 1.587, 1.160, 0.244
 1.587, 1.160, 0.244
 1.892, 1.953, 0.549
 1.892, 1.953, 0.549
 2.136, 1.709, 0.916
 2.136, 1.709, 0.916
 2.136, 1.709, 0.916
 2.197, 1.465, 1.404
 2.197, 1.465, 1.404
 2.014, 1.160, 1.709
 2.014, 1.160, 1.709
 2.258, 0.732, 1.892
 2.258, 0.732, 1.892
 2.258, 0.732, 1.892
 2.930, 0.549, 2.197
 2.930, 0.549, 2.197
 3.662, 0.061, 2.136
 3.662, 0.061, 2.136
 4.150, -0.610, 1.892
 4.150, -0.610, 1.892
